,hotel_name,rating,room_description,price,location_descirption,long_description,Unnamed: 0_y,price_week_before
629,Nobu Hotel Barcelona,8.3,"Deluxe Room
1 extra-large double bed","€ 2,273","Sants-Montjuïc, BarcelonaShow on map2.4 km from centreMetro access","Get the celebrity treatment with world-class service at Nobu Hotel Barcelona
Situated in Barcelona, 400 metres from Sants Railway Station, Nobu Hotel Barcelona features accommodation with a seasonal outdoor swimming pool, private parking, a fitness centre and a terrace. Among the facilities of this property are a restaurant, room service and a 24-hour front desk, along with free WiFi throughout the property. The accommodation offers a concierge service, luggage storage space and currency exchange for guests.

At the hotel rooms have air conditioning and a safety deposit box.

Magic Fountain of Montjuic is 1.4 km from Nobu Hotel Barcelona, while Casa Batllo is 2.7 km from the property. The nearest airport is Barcelona El Prat Airport, 11 km from the accommodation.",959.0,"€ 2,073"
630,Hotel Inglés,7.7,"Double or Twin Room
Beds: 1 double or 2 singles","€ 1,328","Ciutat Vella, BarcelonaShow on map0.7 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Hotel Inglés! To save at this property, all you have to do is sign in.
Hotel Inglés is located right next to the Ramblas and Boquería market, 5 minutes’ walk from Plaça Catalunya. It offers 24-hour reception and rooms with free Wi-Fi and satellite TV.

Air-conditioned rooms at the Inglés are simple and comfortable. They come with a private bathroom and some rooms have a private balcony.

A breakfast is served every morning in a restaurant located next to the hotel.

Staff at the hotel’s 24-hour reception can provide information about what to see and do in Barcelona. You can also hire a car and store your luggage at the front desk.

The Palau de la Música Catalana, a Modernist auditorium, is 10 minutes’ walk from the Hotel Inglés. The characterful streets of the Gothic Quarter are on the doorstep, and you can walk to the trendy Born area in around 5 minutes.",514.0,€ 960
631,Sonder La Casa del Sol,7.8,"Double Room
1 double bed
Only 1 room left at this price on our site","€ 1,582","Gràcia, BarcelonaShow on map2 km from centreMetro access","You're eligible for a Genius discount at Sonder La Casa del Sol! To save at this property, all you have to do is sign in.
A 10-minute walk from La Pedrera, Sonder l La Casa del Sol is situated in Barcelona and features rooms with free WiFi. Well set in the Gràcia district, this hotel offers rooms with balcony.

The units in the hotel are equipped with a flat-screen TV with free-to-air channels. All rooms have a private bathroom.

Sonder l La Casa del Sol offers a beautiful sun terrace.

Speaking English, Spanish, French and Catalan.

Casa Batllo is 1.3 km from the accommodation. The nearest airport is Barcelona El Prat Airport, 13 km from Sonder l La Casa del Sol.",734.0,"€ 1,564"
633,Bright & Breezy,8.3,"Apartment with Terrace
4 beds (2 singles, 1 double, 1 sofa bed)
Only 1 left at this price on our site","€ 2,607","Gràcia, BarcelonaShow on map1.7 km from centre","You're eligible for a Genius discount at Bright & Breezy! To save at this property, all you have to do is sign in.
Set in Barcelona, less than 1 km from La Pedrera and a 16-minute walk from Casa Batllo, Bright & Breezy offers air-conditioned accommodation with a balcony and free WiFi. It is situated 1.7 km from Passeig de Gracia Metro Station and provides a lift. The property is non-smoking and is located 1.8 km from Passeig de Gracia.

The spacious apartment is fitted with 3 bedrooms, a TV and a fully equipped kitchen that provides guests with a dishwasher, an oven, a washing machine, a microwave and a toaster. Towels and bed linen are featured in the apartment.

Popular points of interest near the apartment include Sagrada Familia, Tivoli Theatre and Park Güell. The nearest airport is Barcelona El Prat Airport, 14 km from Bright & Breezy.",759.0,"€ 1,527"
634,Ola Living Diagonal Apartments,8.1,"Superior Apartment
Entire apartment • 4 bedrooms • 2 bathrooms • 1 kitchen • 140m²
5 beds (3 singles, 2 doubles)
Only 4 left at this price on our site","€ 3,999","Sarrià-St. Gervasi, BarcelonaShow on map1.8 km from centre","You're eligible for a Genius discount at Ola Living Diagonal Apartments! To save at this property, all you have to do is sign in.
These modern and elegant apartments are located in the chic Eixample district, within 500 metres of Diagonal Avenue. They offer stylish apartments with air conditioning and free WiFi.

Barcelona 226 Center Exclusive apartments feature stylish décor.  Each has a lounge with plasma satellite TV and sofa and a kitchen with washing machine, dishwasher, microwave, hob and coffee maker. There is also a safe in all apartments. Some of them have a balcony.

There are numerous bars and restaurants within 5 minutes’ walk and there is a large supermarket 30 metres away. The charming Rambla de Catalunya is just 500 metres away.

The apartments are all within 15 minutes’ walk of the exclusive Passeig de Gracia Boulevard, with Gaudí’s La Pedrera and Casa Batlló. The Barcelona Center Exclusive apartments are within 10 minutes' walk of either Gracia FGC Train Station or Diagonal Metro Station.",700.0,"€ 2,939"
635,Hotel Casa Fuster G.L Monumento,8.9,"Deluxe Double or Twin Room
Beds: 1 double or 2 singles","€ 2,273","Gràcia, BarcelonaShow on map1.6 km from centreMetro access","Get the celebrity treatment with world-class service at Hotel Casa Fuster G.L Monumento
You're eligible for a Genius discount at Hotel Casa Fuster G.L Monumento! To save at this property, all you have to do is sign in.
This iconic, Modernist building is located at the head of Barcelona’s chic Passeig de Gracia Avenue. It has a sauna and gym, and a roof terrace with a pool and excellent views.

The luxurious Casa Fuster is a monument in itself, built in 1908 by the Modernist architect, Lluis Domènech i Montaner, and has the status of Speciality Monument. His work, including the hotel, is a designated UNESCO World Heritage Site.

The elegant air-conditioned rooms at Casa Fuster G.L Monumento feature satellite TV and a minibar. There is a private bathroom with a hairdryer, bathrobe and slippers. Some rooms have a hydro-massage bath.

The Casa Fuster Hotel has a stylish restaurant, which serves Mediterranean cuisine. Room service is available, and there is a jazz bar and rooftop chill-out bar.

There is a concierge service and 24-hour front desk. You can hire a car from the tour desk, and parking is available nearby for an additional charge.",504.0,"€ 12,693"
637,ABaC Restaurant Hotel Barcelona GL Monumento,9.2,"Double room (1 or 2 people)
1 extra-large double bed
Only 1 room left at this price on our site","€ 2,335","Sarrià-St. Gervasi, BarcelonaShow on map3.8 km from centreMetro access","Get the celebrity treatment with world-class service at ABaC Restaurant Hotel Barcelona GL Monumento
You're eligible for a Genius discount at ABaC Restaurant Hotel Barcelona GL Monumento! To save at this property, all you have to do is sign in.
Located in Barcelona, 1.9 km from Park Güell, ABaC Restaurant Hotel Barcelona GL Monumento provides accommodation with a terrace, private parking, a restaurant and a bar. This 5-star hotel offers room service, a 24-hour front desk and free WiFi. Guests can use the spa and wellness centre with an indoor pool, fitness centre, and sauna, as well as a garden.

The hotel will provide guests with air-conditioned rooms with a desk, a coffee machine, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a shower. At ABaC Restaurant Hotel Barcelona GL Monumento every room is fitted with bed linen and towels.

The accommodation offers a range of wellness facilities including a hot tub and a hammam.

La Pedrera is 3.3 km from ABaC Restaurant Hotel Barcelona GL Monumento, while Casa Batllo is 3.5 km away. The nearest airport is Barcelona El Prat, 14 km from the hotel, and the property offers a paid airport shuttle service.",516.0,"€ 2,230"
639,DO Plaça Reial powered by Sonder,8.4,"Queen Room
1 large double bed
Only 1 room left at this price on our site","€ 2,923","Ciutat Vella, BarcelonaShow on map0.9 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at DO Plaça Reial powered by Sonder! To save at this property, all you have to do is sign in.
Set on Plaza Reial and just off Las Ramblas, DO Plaça Reial powered by Sonder features a spa, a rooftop pool and stylish rooms. Bars and cafés can be found in the square and in the surrounding Gothic Quarter.

Each spacious, air-conditioned room offers a free Wi-Fi, a flat-screen TV and a free minibar.

In the mornings, the DO Plaça Reial offers a paid breakfast. Creative Mediterranean cuisine and tapas dishes are also served in the restaurant.

The hotel spa features a sauna.

The famous Boquería Market is just 5-minute walk away. Barcelona Cathedral, Liceu Metro and Plaza Catalunya are within 1 km of the hotel.",654.0,"€ 2,478"
640,Hotel Acta Laumon,8.2,"Double or Twin Room
Beds: 1 double or 2 singles
Only 3 rooms left at this price on our site","€ 1,185","Sant Andreu, BarcelonaShow on map4.4 km from centreMetro access","Situated just 200 metres from Sagrera Metro Station in Sant Andreu, the modern Hotel Acta Laumon is 25 minutes from the centre of Barcelona by metro.

It features stylish rooms with air conditioning, a plasma TV and a private bathroom. Free WiFi is offered. Hotel Acta Laumon also offers apartments, located in front of the hotel. Guests have access to the hotel facilities.

The hotel have a spacious lounge to rest, work or have a coffee.
There are also 24-hour vending machines for snacks and drinks.

The hotel offers tourist information and ticket services.",429.0,€ 818
641,Hotel Transit,7.6,"Double Interior Room
2 single beds
Only 1 room left at this price on our site","€ 1,193","Sants-Montjuïc, BarcelonaShow on map2.5 km from centreMetro access","Hotel Transit is just 3 minutes’ walk from Barcelona Sants, the city’s main AVE Train Station. Free WiFi is offered throughout the property.

Rooms feature a flat-screen satellite TV, central heating and central air conditioning. Some rooms overlook an interior patio. The private bathroom comes with free toiletries, shower, and hairdryer.

There are vending machines on-site for coffee, drinks and snacks. Several bars and restaurants can be found a short walk from the Transit Hotel.

You can reach Plaza Catalunya and La Rambla in 10 minutes by bus or Metro, and Sants Estació Metro Station is 250 metres away. Plaza Espanya and the Magic Fountain are 10 minutes’ walk from the hotel.",660.0,"€ 1,441"
642,Valencia 455,7.6,"Apartment with Balcony
Entire apartment • 3 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 80m²
4 beds (2 singles, 2 doubles)
Free cancellation
Only 1 left at this price on our site","€ 2,628","Eixample, BarcelonaShow on map1.9 km from centreMetro accessBeach nearby","Valencia 455 features a balcony and is set in Barcelona, within just 300 metres of Sagrada Familia and 1.8 km of Casa Batllo. It is located 1.8 km from La Pedrera and offers a lift. Free WiFi is available throughout the property and Nova Icaria Beach is 2.7 km away.

The air-conditioned apartment consists of 3 bedrooms, a living room, a fully equipped kitchen with an oven and a coffee machine, and 2 bathrooms with a shower and a hair dryer. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Passeig de Gracia is 2.3 km from the apartment, while Passeig de Gracia Metro Station is 2.4 km away. The nearest airport is Barcelona El Prat Airport, 15 km from Valencia 455.",49.0,"€ 2,121"
643,Valencia 455,7.6,"Apartment with Balcony
Entire apartment • 3 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 80m²
4 beds (2 singles, 2 doubles)
Free cancellation
Only 1 left at this price on our site","€ 2,628","Eixample, BarcelonaShow on map1.9 km from centreMetro accessBeach nearby","Valencia 455 features a balcony and is set in Barcelona, within just 300 metres of Sagrada Familia and 1.8 km of Casa Batllo. It is located 1.8 km from La Pedrera and offers a lift. Free WiFi is available throughout the property and Nova Icaria Beach is 2.7 km away.

The air-conditioned apartment consists of 3 bedrooms, a living room, a fully equipped kitchen with an oven and a coffee machine, and 2 bathrooms with a shower and a hair dryer. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Passeig de Gracia is 2.3 km from the apartment, while Passeig de Gracia Metro Station is 2.4 km away. The nearest airport is Barcelona El Prat Airport, 15 km from Valencia 455.",895.0,"€ 2,121"
644,Eurostars Grand Marina Hotel GL,8.1,"Superior Double or Twin Room (1-2 Adults)
Beds: 1 double or 2 singles","€ 2,439","Ciutat Vella, BarcelonaShow on map1.9 km from centreBeach nearby","You're eligible for a Genius discount at Eurostars Grand Marina Hotel GL! To save at this property, all you have to do is sign in.
Set within the World Trade Center building, this 5-star design hotel overlooks Barcelona’s port and is a 5-minute walk from La Rambla. It features a seasonal rooftop pool, a gym and a spacious terrace.

The Eurostars Grand Marina Hotel GL offers modern rooms with wooden flooring and warm-coloured fabrics. A flat-screen TV with satellite channels and a spacious work desk are featured in each room. A pillow menu is also available.

The chic Grand Marina restaurant serves Mediterranean meals prepared with seasonal ingredients, while the lobby bar features exotic cocktails and live music. In the mornings, a rich breakfast is served on the terrace, weather permitting.

The Marina GL's gym offers cardiovascular equipment and free weights. Massage services are available.

Drassanes Metro Station, providing links to the rest of the city, is just 500 metres from the hotel while Barcelona Airport is 15 km away.",659.0,"€ 2,629"
645,Pelayo Deluxe Apartments,8.2,"Deluxe Two-Bedroom Apartment H2
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 75m²
4 beds (2 singles, 1 sofa bed, 1 large double)
Only 1 left at this price on our site","€ 2,883","Eixample, BarcelonaShow on map300 m from centreMetro accessBeach nearby","You're eligible for a Genius discount at Pelayo Deluxe Apartments! To save at this property, all you have to do is sign in.
Located in Barcelona city centre, Pelayo Deluxe Apartments offers stylish apartments with free WiFi. The apartments are a 5-minute walk from Plaza Catalunya Square.

Featuring plenty of natural light and fitted with parquet floors, each air-conditioned apartment includes a seating area with a flat-screen TV with satellite channels. The TV has USB and HDMI. The kitchen is equipped with a dishwasher, oven, Nespresso coffee machine, and a microwave. A washing machine and dryer are also available.

The bedrooms come with a wardrobe and heating. The bathroom has a shower and a hairdryer. Bed linen and towels are provided.

A variety of restaurants, shops and bars are within 2 minutes' walk from the accommodation. Plaza Catalunya Metro Station and Train Station are just 300 metres away. Gaudi's famous Sagrada Familia is 15 minutes away by metro.

Barcelona Airport is 13 km from the property. Buses run regularly between Plaza Catalunya Square and the airport.",632.0,"€ 2,041"
646,Ola Living Aribau Apartments,8.2,"Three-Bedroom Apartment
Entire apartment • 3 bedrooms • 2 bathrooms • 1 kitchen • 110m²
4 beds (3 singles, 1 double)
Only 2 left at this price on our site","€ 3,139","Sarrià-St. Gervasi, BarcelonaShow on map1.8 km from centre","You're eligible for a Genius discount at Ola Living Aribau Apartments! To save at this property, all you have to do is sign in.
Ola Living Aribau Apartments is situated in the Sarrià-St. Gervasi district of Barcelona, 1.5 km from Casa Batllo, 1.9 km from Passeig de Gracia and 1.8 km from Passeig de Gracia Metro Station. It is set 1.1 km from La Pedrera and offers a lift. Plaça Catalunya is 2.5 km away and Sants Railway Station is 2.8 km from the apartment.

Each unit is fitted with air conditioning, a private bathroom and a well-fitted kitchen including a dishwasher, microwave, toaster and a fridge. Free WiFi is available to all guests, while selected rooms here will provide you with a balcony. At the apartment complex, the units come with bed linen and towels.

Tivoli Theatre is 3 km from the apartment, while Portal de l'Angel is 3.1 km away. The nearest airport is Barcelona El Prat Airport, 14 km from Ola Living Aribau Apartments.",762.0,"€ 2,548"
647,APBCN Eixample Center,8.0,"Studio Apartment (4 Adults)
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 65m²
3 beds (2 singles, 1 double)
Only 7 left at this price on our site","€ 4,173","Eixample, BarcelonaShow on map1.1 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at APBCN Eixample Center! To save at this property, all you have to do is sign in.
Featuring free WiFi, APBCN Eixample Center is located in Barcelona. This property is set 200 metres from Tetuan Metro Station and a 15-minute walk from the famous Sagrada Familia.

All air-conditioned apartments at this property provide you with a flat-screen TV and dining table, while the kitchen is equipped with a dishwasher, oven, coffee machine, and microwave. You can enjoy views of the city from the private balcony.

The private bathroom comes with a shower and a hairdryer. Bed linen and towels are provided, and a washer and dryer are available.

You can find a grocery shop, and various restaurants and bars within a 10-minute walk of APBCN Eixample Center. Plaza Catalunya and Las Ramblas Boulevard are 1.3 km from the property, and Passeig de Gracia, famous for its designer shops, can be reached in 15 minutes on foot.",830.0,"€ 4,173"
648,AB Gracia Sant Salvador,7.5,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 2 bathrooms • 45m²
2 beds (1 double, 1 sofa bed)
Only 1 left at this price on our site","€ 2,384","Gràcia, BarcelonaShow on map2.6 km from centreMetro access","You're eligible for a Genius discount at AB Gracia Sant Salvador! To save at this property, all you have to do is sign in.
These stylish, air-conditioned apartments are located in a peaceful part of Barcelona’s Gracia district, just 400 metres from Lesseps Metro Station. The BWH Gracia apartments offer free WiFi.

Decorated in a modern and minimalistic style, the apartments feature floor-to-ceiling windows and parquet floors. Each one has a lounge area with a sofa, flat-screen TV, DVD player and iPod docking station. The kitchen is well-equipped and includes an oven and washer-dryer.

Gracia is a lively neighbourhood and has many unique shops, restaurants and bars. Gaudí’s famous Park Güell is only 15 minutes’ walk from the apartments.

Plaza Catalunya, the very centre of Barcelona, is 10 minutes away by metro. Airport buses stop there, or alternatively the property can arrange an airport transfer for an extra charge.",860.0,"€ 1,773"
649,"Sir Victor Hotel, part of Sircle Collection",8.3,"Double or Twin Room
Multiple bed types","€ 3,013","Eixample, BarcelonaShow on map1.3 km from centreMetro access","Sir Victor Hotel, part of Sircle Collection in Barcelona offers stylish accommodation on Passeig de Gràcia, 5 minutes’ walk from Gaudí’s La Pedrera. It features a rooftop swimming pool and a terrace offering excellent views of Barcelona.

Each of the Sir Victor Hotel, part of Sircle Collection rooms has chic, contemporary décor. Rooms overlook Passeig de Gràcia, or the hotel’s interior garden. Each has satellite TV, free Wi-Fi and a large bathroom.

The Spa features steam baths, a sauna, and a state-of the art gym.

The lobby restaurant & bar, MR PORTER, offers an innovative selection of dishes to share.

Plaza de Catalunya and Las Ramblas can be reached in 15 minutes, by foot. Diagonal Metro Station is just 70 metres from the hotel.",482.0,"€ 2,911"
650,Exe Mitre,8.1,"Double Room
Beds: 1 double or 2 singles","€ 1,389","Sarrià-St. Gervasi, BarcelonaShow on map3.2 km from centreMetro access","You're eligible for a Genius discount at Exe Mitre! To save at this property, all you have to do is sign in.
Exe Mitre enjoys a peaceful location in the San Gervasi district of Barcelona, 200 metres from Putxet Park. It offers spacious rooms with and free WiFi.

An extensive buffet breakfast is served, with hot and cold options. The friendly staff are happy to recommend restaurants and bars nearby.

The elegant rooms at Exe Mitre feature classic décor and come with a flat-screen TV. Some rooms also have a terrace with views over Mount Tibidabo.

Exe Mitre is just 15 minutes’ walk from Gaudi’s famous Park Guell. Putxet Metro Station is 200 metres away and connects with Passeig de Gràcia Boulevard in just 6 minutes. Plaza Catalunya and Las Ramblas are an 8-minute metro ride away.",685.0,"€ 1,608"
651,H10 Raco del Pi,8.8,"Double or Twin Room
Beds: 1 double or 2 singles
Only 2 rooms left at this price on our site","€ 1,645","Ciutat Vella, BarcelonaShow on map0.5 km from centreMetro accessBeach nearby","Featuring 3-star accommodation, H10 Raco del Pi is set in Barcelona, 2.2 km from Sant Sebastian Beach and 2.2 km from Somorrostro Beach. With a terrace, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The property is 400 metres from the city centre and 2.1 km from Sant Miquel Beach.

At the hotel, all rooms come with a wardrobe and a flat-screen TV. Every room includes a safety deposit box, while certain rooms will provide you with a balcony and others also provide guests with city views. At H10 Raco del Pi rooms include bed linen and towels.

A continental breakfast is available every morning at the accommodation.

There is an on-site snack bar and guests can also make use of the business area. Staff speak English and Spanish at the 24-hour front desk.

Popular points of interest near H10 Raco del Pi include Plaça Catalunya, Tivoli Theatre and Passeig de Gracia. The nearest airport is Barcelona El Prat Airport, 13 km from the hotel.",617.0,"€ 1,472"
652,Casa Boutique Barcelona,7.4,"Double Room
1 double bed
Only 7 rooms left at this price on our site","€ 2,184","Eixample, BarcelonaShow on map0.8 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Casa Boutique Barcelona! To save at this property, all you have to do is sign in.
Situated in the heart of modernist Barcelona, this modern house is just a short walk from Gaudi’s La Pedrera and Casa Batlló monuments.

Housed in a modernist-style building, the Casa Boutique Barcelona is located in the city centre, in the Eixample neighbourhood. Stroll to nearby Passeig de Gracia, a wide continental-style avenue where you will find numerous designer shops, eateries and spectacular architecture. The house is also ideally placed so you can enjoy the lively nightlife of the nearby Gothic Quarter and El Borne area.

Located in the heart of the city, you can walk to Plaça Catalunya in 3 minutes from the hotel. It also enjoys excellent transport connections to the rest of the city, by metro or bus.",548.0,"€ 1,321"
653,Casa Boutique Barcelona,7.4,"Double Room
1 double bed
Only 7 rooms left at this price on our site","€ 2,184","Eixample, BarcelonaShow on map0.8 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Casa Boutique Barcelona! To save at this property, all you have to do is sign in.
Situated in the heart of modernist Barcelona, this modern house is just a short walk from Gaudi’s La Pedrera and Casa Batlló monuments.

Housed in a modernist-style building, the Casa Boutique Barcelona is located in the city centre, in the Eixample neighbourhood. Stroll to nearby Passeig de Gracia, a wide continental-style avenue where you will find numerous designer shops, eateries and spectacular architecture. The house is also ideally placed so you can enjoy the lively nightlife of the nearby Gothic Quarter and El Borne area.

Located in the heart of the city, you can walk to Plaça Catalunya in 3 minutes from the hotel. It also enjoys excellent transport connections to the rest of the city, by metro or bus.",578.0,"€ 1,321"
654,Classbedroom Park Güell Apartment,8.8,"Four-Bedroom Apartment (8 Adults) - Calle Pintor Gimeno 2
Entire apartment • 4 bedrooms • 1 bathroom • 1 kitchen • 110m²
8 beds (6 singles, 2 bunk beds)
Free cancellation
Only 1 left at this price on our site","€ 2,868","Sarrià-St. Gervasi, BarcelonaShow on map3.2 km from centreMetro access","These stylish, modern apartments are located in some of the most elegant and authentic districts of Barcelona, such as Gothic Quarter, Eixample, Sant Gervasi, Guinardó and Montjuic.

Accommodation between 2 and 4 guests each, these recently refurbished apartments are ideal for families and groups of friends visiting the Catalan capital. Each apartment has a clean, bright, airy feel and many enjoy views over the surrounding historic streets and monuments.

Convenient public transport links, including local metro stations, make sightseeing trips around the city easy.",738.0,"€ 1,765"
655,Classbedroom Park Güell Apartment,8.8,"Four-Bedroom Apartment (8 Adults) - Calle Pintor Gimeno 2
Entire apartment • 4 bedrooms • 1 bathroom • 1 kitchen • 110m²
8 beds (6 singles, 2 bunk beds)
Free cancellation
Only 1 left at this price on our site","€ 2,868","Sarrià-St. Gervasi, BarcelonaShow on map3.2 km from centreMetro access","These stylish, modern apartments are located in some of the most elegant and authentic districts of Barcelona, such as Gothic Quarter, Eixample, Sant Gervasi, Guinardó and Montjuic.

Accommodation between 2 and 4 guests each, these recently refurbished apartments are ideal for families and groups of friends visiting the Catalan capital. Each apartment has a clean, bright, airy feel and many enjoy views over the surrounding historic streets and monuments.

Convenient public transport links, including local metro stations, make sightseeing trips around the city easy.",738.0,"€ 1,765"
656,Antiga Casa Buenavista,9.4,"Double Room Raval
1 large double bed
Breakfast included
Only 6 rooms left at this price on our site","€ 2,953","Ciutat Vella, BarcelonaShow on map0.6 km from centreMetro accessBeach nearby","Conveniently set in the centre of Barcelona, Antiga Casa Buenavista provides air-conditioned rooms, an outdoor swimming pool, free WiFi and a shared lounge. Less than 1 km from Passeig de Gracia and a 8-minute walk from Plaça Catalunya, the property features a terrace and a bar. The accommodation offers a business centre, a concierge service and organising tours for guests.

At the hotel, the rooms have a desk. Each room has a coffee machine, while some have a balcony. Guest rooms in Antiga Casa Buenavista are equipped with a flat-screen TV with satellite channels and a computer.

At the accommodation you will find a restaurant serving Catalan, Mediterranean and Spanish cuisine. Vegetarian and gluten-free options can also be requested.

Speaking Catalan, English, Spanish and French, staff are willing to help at the 24-hour front desk.

Popular points of interest near Antiga Casa Buenavista include Passeig de Gracia Metro Station, Boqueria Market and Tivoli Theatre. The nearest airport is Barcelona El Prat Airport, 12 km from the hotel.",871.0,"€ 2,476"
657,"Kimpton Vividora Hotel, an IHG Hotel",8.9,"Essential Room
Multiple bed types
Only 6 rooms left at this price on our site","€ 2,639","Ciutat Vella, BarcelonaShow on map350 m from centreMetro accessBeach nearby","The Kimpton Vividora Hotel, an IHG Hotel is located in the Gothic Quarter of Barcelona, a short walk from the Plaça Catalunya metro station and in the Portal del Angel shopping district and 10 minutes from the Paseo de Gracia shopping area. This elegantly designed property features a Mediterranean restaurant, a cafeteria, a terrace with a bar and a rooftop pool.

All rooms feature contemporary décor. All have a yoga mat, tea and coffee making facilities, smart TV, minibar and exclusive bathrobe.In addition, the hotel offers the Forgot it? We got it! Which makes available to its guests a whole series of amenities and accessories that will further improve their stay.

The gastronomic space of the Kimpton Vividora Hotel, an IHG chain hotel, has a rooftop terrace with magnificent views of the city, pool, sun loungers, cocktails and snacks, Terraza de Vivi. The Fauna restaurant located on the first floor offers Mediterranean cuisine with Catalan roots in a room reminiscent of a typical Eixample apartment. Got Coffee & Cocktails overlooks the street and serves locally sourced coffee, wine and signature cocktails. This gastronomic space is a place where guests feel at home. Every day from 6pm the free Social Wine Hour is offered to all guests with an open bar of local wines.

This pet-friendly hotel is close to attractions such as Barcelona Cathedral, Plaza de Catalunya and the Palau de la Música Catalana. Barcelona-El Prat Airport, located 15 km away, is the closest.

Our clients say that this part of Barcelona is their favorite, according to independent comments.",373.0,"€ 2,606"
658,Barcelona4Seasons - Muntaner,8.7,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 45m²
1 double bed
Free cancellation
Only 1 left at this price on our site","€ 2,280","Eixample, BarcelonaShow on map1.2 km from centreMetro access","Located in Barcelona, 1.4 km from Passeig de Gracia and 1.6 km from Plaça Catalunya, Barcelona4Seasons - Muntaner offers air conditioning. It is set 1.3 km from Passeig de Gracia Metro Station and provides a lift. Free WiFi is available throughout the property and Casa Batllo is 1.1 km away.

The apartment features 1 bedroom, a TV, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a shower. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include La Pedrera, Sants Railway Station and Boqueria Market. The nearest airport is Barcelona El Prat Airport, 12 km from Barcelona4Seasons - Muntaner.",882.0,"€ 1,344"
660,Moderno,7.3,Room Assigned on Arrival,"€ 1,568","Ciutat Vella, BarcelonaShow on map0.7 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Moderno! To save at this property, all you have to do is sign in.
Hotel Moderno has a central location, on a side street just 20 metres from Barcelona’s famous Las Ramblas. It offers free Wi-Fi access throughout.

All rooms at the Moderno are heated, air conditioned and soundproofed. There is also cable TV, a fridge and a private bathroom with toiletries.

The hotel is just a short walk from the Boquería Market on La Rambla. Plaza de Catalunya and the city’s cathedral are just a few minutes’ walk away.

The hotel’s City Tour offer is ideal for exploring the city. There is also a ticket service. The 3 computers in the lobby can be used for free.

The Moderno has a 24-hour front desk and offers express check-in and check-out.",466.0,"€ 1,497"
661,Apartments Gaudi Barcelona,7.2,"Two-Bedroom Apartment - Camprodón
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 60m²
4 beds (2 singles, 1 double, 1 sofa bed)
Only 1 left at this price on our site","€ 1,512","Gràcia, BarcelonaShow on map1.6 km from centreMetro access","Featuring stylish accommodation, Apartments Gaudi Barcelona are set in the charming Gràcia district, just a 10-minute walk to Gaudi´s Sagrada Familia.

Each studio and apartment at the Gaudi Barcelona has charming décor. There is either a kitchen or a kitchenette with a fridge, microwave and coffee maker. Seating areas come with a flat-screen TV.

There is a selection of shops in the streets around Apartments Gaudi Barcelona. Gràcia has a range of cafés, bars and restaurants.

Passeig de Gràcia is a 10-minute walk away, while Gaudí’s La Pedrera and Casa Batlló are both within 1.5 km of the apartments. Las Ramblas can be reached in 10 minutes by Metro.


Please note that this property offers apartments in different locations around Barcelona, near the Gracia district. Check-in takes place directly at your apartment. Please see the individual apartment descriptions for the address and more details.",498.0,"€ 1,249"
