,hotel_name,rating,room_description,price,location_descirption,long_description,price_week_before
838,Loft 60 - EXCLUSIVE LOFT ROME CITY CENTER,9.4,"Holiday Home
Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 70m²
3 beds (2 extra-large doubles, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site","€ 2,056","Vaticano Prati, RomeShow on map2.2 km from centreMetro access","You're eligible for a Genius discount at Loft 60 - EXCLUSIVE LOFT ROME CITY CENTER! To save at this property, all you have to do is sign in.
Set 1.0 km from Castel Sant'Angelo in Rome, Loft 60 - EXCLUSIVE LOFT ROME CITY CENTER offers accommodation with a kitchen. This property is 1.5 km from The Vatican.

The holiday home has 1 bedroom and 2 bathrooms , a bath and a hair dryer. A flat-screen TV is offered.

Piazza del Popolo is 1.4 km from the holiday home, while St. Peter's Basilica is 1.1 km away. Rome Ciampino Airport is 19 km from the property.","€ 2,052"
839,Red & White Vatican Apartment,7.8,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 55m²
2 large double beds
Free cancellation
Only 1 left at this price on our site","€ 1,313","Vaticano Prati, RomeShow on map2.4 km from centre","Red & White Vatican Apartment offers accommodation within 2.3 km of the centre of Rome, with free WiFi, and a kitchen with a dishwasher, an oven and a fridge. The air-conditioned accommodation is less than 1 km from St. Peter's Basilica. Vatican Museums is 1.7 km from the apartment and Piazza Navona is 2.2 km away.

At the apartment complex, the units come with a wardrobe, a TV, a private bathroom, bed linen and towels. A stovetop and kitchenware are also featured, as well as a coffee machine and a kettle.

Popular points of interest near the apartment include Castel Sant'Angelo, St Peter's Square and The Vatican. The nearest airport is Rome Ciampino, 18 km from Red & White Vatican Apartment, and the property offers a paid airport shuttle service.","€ 1,316"
845,INTERNO ROMA,9.0,"Economy Double Room
1 double bed
Only 1 room left at this price on our site","€ 1,032","Central Station, RomeShow on map2.3 km from centreMetro access","Surrounded by views of the inner courtyard, INTERNO ROMA is a sustainable guest house in Rome, offering guests an environmentally friendly accommodation close to Vittorio Emanuele Metro Station. It is situated 500 metres from Porta Maggiore and features full-day security. The property has a hot tub, free WiFi throughout the property and a lift.

The guest house will provide guests with air-conditioned units with a desk, a coffee machine, a fridge, kitchenware, a safety deposit box, a flat-screen TV and a private bathroom with a bidet. Guests can have chocolates or cookies delivered to their room. At the guest house, each unit includes bed linen and towels.

Popular points of interest near the guest house include Sapienza University of Rome, San Giovanni Metro Station and Santa Maria Maggiore. The nearest airport is Rome Ciampino, 13 km from INTERNO ROMA, and the property offers a paid airport shuttle service.","€ 1,086"
846,LILIUM HOUSE Apts,8.9,"Standard Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 45m²
2 beds (1 sofa bed, 1 large double)
Only 1 left at this price on our site",€ 987,"Aventino, RomeShow on map2.1 km from centreMetro access","You're eligible for a Genius discount at LILIUM HOUSE Apts! To save at this property, all you have to do is sign in.
Offering garden views, LILIUM HOUSE Apts is an accommodation set in Rome, 2.1 km from Domus Aurea and 2.2 km from Roman Forum. There is a private entrance at the apartment for the convenience of those who stay. The apartment offers rooms with air conditioning, free private parking and free WiFi.

Each unit comes with a fully equipped kitchen with a microwave, a seating area, a flat-screen TV, a washing machine, and a private bathroom with shower and a hair dryer. A toaster, a fridge and stovetop are also featured, as well as a coffee machine and a kettle. At the apartment complex, the units are equipped with bed linen and towels.

A minimarket is available at the apartment.

Coliseum is 2.3 km from the apartment, while Palatine Hill is 2 km away. The nearest airport is Rome Ciampino Airport, 14 km from LILIUM HOUSE Apts.","€ 1,082"
848,A World Aparts - 504 Corso,8.2,"Deluxe Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 60m²
3 beds (2 sofa beds, 1 large double)
Free cancellation
No prepayment needed – pay at the property
Only 1 left at this price on our site","€ 1,699","Spagna, RomeShow on map1.5 km from centreMetro access","You're eligible for a Genius discount at A World Aparts - 504 Corso! To save at this property, all you have to do is sign in.
Located in Rome, 1.3 km from Lepanto Metro Station and 1.2 km from Villa Borghese, A World Aparts - 504 Corso provides accommodation with amenities such as free WiFi and a flat-screen TV. The property is close to Spanish Steps, Piazza Barberini and Via Condotti. The property is 1.2 km from the city centre and 300 metres from Piazza del Popolo.

The air-conditioned apartment is composed of 1 separate bedroom, a living room, a fully equipped kitchen, and 1 bathroom. The accommodation is non-smoking.

Popular points of interest near the apartment include Trevi Fountain, Spagna Metro Station and Flaminio Metro Station. The nearest airport is Rome Ciampino, 18 km from A World Aparts - 504 Corso, and the property offers a paid airport shuttle service.","€ 1,579"
849,Bed and Breakfast Zoe,8.9,"Deluxe Double Room
1 extra-large double bed
Free cancellation
Only 2 rooms left at this price on our site","€ 1,372","Trastevere, RomeShow on map1.4 km from centre","Surrounded by popular restaurants and cafés in Rome's characteristic Trastevere district, family-run B&B Zoe offers colourful rooms with air conditioning. Free Wi-Fi is provided in all rooms.

Each room has different décor and colour schemes. They overlook the garden and all but one has a balcony.

The apartment is a Bed & Breakfast, located on the second floor of a building, thus it is not comparable to a hotel but to a private entity, equipped with a kitchen for private use of the owner where by law guests cannot cook or use the stove. There are three bedrooms for each couple of guests so those who book must know that they are not alone in the apartment but there will also be others since those who book are doing so in regard to a bedroom with bathroom and not the entire apartment.

Bed and Breakfast Zoe has excellent tram and bus links across the Tiber River to Rome’s historical centre. It is just 5 minutes’ walk from the beautiful church of Santa Maria in Trastevere.","€ 1,359"
854,Gardoce's Guest House,8.9,"Double Room with Private External Bathroom
2 beds (1 single, 1 double)
Free cancellation
Only 1 room left at this price on our site","€ 1,152","Vaticano Prati, RomeShow on map2.5 km from centreMetro access","You're eligible for a Genius discount at Gardoce's Guest House! To save at this property, all you have to do is sign in.
Providing city views, Gardoce's Guest House is located in the Vaticano Prati district of Rome, 800 metres from Lepanto Metro Station and 600 metres from Vatican Museums. There is a private entrance at the bed and breakfast for the convenience of those who stay. The property is 200 metres from Ottaviano Metro Station, and within 2.2 km of the city centre.

The units are equipped with air conditioning, a flat-screen TV with streaming services, a minibar, a kettle, a bidet, a hair dryer and a desk. Featuring a private bathroom with a bath and free toiletries, units at the bed and breakfast also offer free WiFi. At the bed and breakfast, every unit has bed linen and towels.

Popular points of interest near the bed and breakfast include Castel Sant'Angelo, St Peter's Square and The Vatican. The nearest airport is Rome Ciampino, 18 km from Gardoce's Guest House, and the property offers a paid airport shuttle service.","€ 1,152"
855,Domus Gallo,8.6,"Deluxe Double Room
1 large double bed
Breakfast included
Free cancellation
Only 1 room left at this price on our site","€ 1,260","Central Station, RomeShow on map1.8 km from centreMetro access","Featuring free Wi-Fi, Domus Gallo is located in Rome and offers rooms with a private bathroom. It is 2 km from the Colosseum and 3 km from Circus Maximus.

Each room includes a flat-screen TV. The bathroom comes with a shower.

Domus Gallo is 4 km from the Catacombs of St.Callixtus. Ciampino - G.B. Pastine International Airport is 15 km away.","€ 1,278"
862,St. Peter's Refuge 2,9.4,"Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 60m²
3 beds (1 single, 2 large doubles)
Free cancellation
Only 1 left at this price on our site","€ 2,027","Vaticano Prati, RomeShow on map2.1 km from centre","In the centre of Rome, located within a short distance of St. Peter's Basilica and Castel Sant'Angelo, St. Peter's Refuge 2 offers free WiFi, air conditioning and household amenities such as a toaster and coffee machine. With inner courtyard views, this accommodation provides a balcony. The property is non-smoking and is set less than 1 km from St Peter's Square.

The apartment with a terrace and city views features 2 bedrooms, a living room, a flat-screen TV, an equipped kitchenette with a dishwasher and a microwave, and 1 bathroom with a walk-in shower. Towels and bed linen are provided in the apartment. The property offers quiet street views.

A minimarket is available at the apartment.

Popular points of interest near the apartment include The Vatican, Vatican Museums and Ottaviano Metro Station. The nearest airport is Rome Ciampino, 18 km from St. Peter's Refuge 2, and the property offers a paid airport shuttle service.","€ 2,027"
863,Leone,8.1,"Small Double Room
1 double bed
Free cancellation
Only 2 rooms left at this price on our site",€ 930,"Central Station, RomeShow on map1.4 km from centreMetro access","Offering inner courtyard views, Leone is an accommodation situated in Rome, less than 1 km from Cavour Metro Station and a 5-minute walk from Rome Termini Metro Station. Among the facilities at this property are a lift and a concierge service, along with free WiFi throughout the property. The property is 400 metres from Santa Maria Maggiore, and within 1.4 km of the city centre.

The guest house will provide guests with air-conditioned units offering a desk, a kettle, a fridge, a safety deposit box, a flat-screen TV and a private bathroom with a bidet. All units have a wardrobe.

Popular points of interest near the guest house include Rome Termini Train Station, Repubblica - Teatro dell'Opera Metro Station and Vittorio Emanuele Metro Station. The nearest airport is Rome Ciampino Airport, 14 km from Leone.",€ 930
865,NathanaEle House Via Tuscolana,9.7,"Apartment
Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 70m²
3 beds (1 single, 2 large doubles)
Only 1 left at this price on our site","€ 1,016","Appio Latino, RomeShow on map6.9 km from centreMetro access","Situated in Rome, 3.9 km from Ponte Lungo Metro Station and 3.9 km from Anagnina Metro Station, NathanaEle House Via Tuscolana features air-conditioned accommodation with a balcony and free WiFi. This recently renovated apartment is located 4.8 km from San Giovanni Metro Station and 5.2 km from Porta Maggiore. The property is non-smoking and is set 6 km from Vittorio Emanuele Metro Station.

The spacious apartment has 2 bedrooms, a flat-screen TV with streaming services, a fully equipped kitchen with an oven and a toaster, a washing machine, and 1 bathroom with a bidet. Towels and bed linen are available in the apartment. Additional in-room amenities include chocolates or cookies.

Dining options are available close to the apartment.

Sapienza University of Rome is 6.8 km from NathanaEle House Via Tuscolana, while Coliseum is 7.1 km from the property. The nearest airport is Rome Ciampino Airport, 9 km from the accommodation.","€ 1,016"
868,Grotte - Campo de' Fiori,8.0,"One-Bedroom Apartment
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,227","Navona, RomeShow on map0.9 km from centre","In the centre of Rome, located within a short distance of Largo di Torre Argentina and Pantheon, Grotte - Campo de' Fiori offers free WiFi, air conditioning and household amenities such as a stovetop and coffee machine. It is situated less than 1 km from Palazzo Venezia and provides a 24-hour front desk. Staff on-site can arrange a shuttle service.

This apartment is equipped with 1 bedroom, a kitchen with a microwave and a fridge, a flat-screen TV, a seating area and 1 bathroom equipped with a bidet. Towels and bed linen are provided in the apartment. This apartment is allergy-free and non-smoking.

Popular points of interest near the apartment include Campo de' Fiori, Piazza Venezia and Synagogue of Rome. The nearest airport is Rome Ciampino, 16 km from Grotte - Campo de' Fiori, and the property offers a paid airport shuttle service.","€ 1,227"
869,Relais Tiburtina,8.2,"Double/ Twin Room with Balcony
Beds: 1 double or 2 singles
Breakfast included
Free cancellation
Only 1 room left at this price on our site",€ 708,"Nomentano, RomeShow on map4.1 km from centreMetro access","You're eligible for a Genius discount at Relais Tiburtina! To save at this property, all you have to do is sign in.
Set just 200 metres from Tiburtina Metro Station, Tiburtina Guest House offers free Wi-Fi throughout and designer en suite rooms. It features a shared sun terrace, and a location with great public transport means.

All rooms boast contemporary décor with design furnishings. Each is provided with air conditioning, a flat-screen TV, and soundproofed walls, most rooms also include a private furnished balcony.

Breakfast is Italian style, and it can be enjoyed in the comfort of your room. It offers croissants and pastries, together with espresso coffee.

Piazza Bologna, with its renowned shops, is just 700 metres from Guest House Tiburtina. The Coliseum is 7 metro stops away.",€ 708
875,Lucky Holidays,9.2,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 2 bathrooms • 1 kitchen • 85m²
4 beds (2 singles, 2 large doubles)
Free cancellation
Only 1 left at this price on our site","€ 1,854","San Lorenzo, RomeShow on map2.5 km from centre","You're eligible for a Genius discount at Lucky Holidays! To save at this property, all you have to do is sign in.
Just a 5-minute walk from Termini Train and Metro Station, Lucky Holidays offers air-conditioned accommodation with free Wi-Fi. This property is just 2 metro stops from the Coliseum and 3 stops from the Spanish Steps.

Set on 2 floors, this spacious and colourful apartment features a living area with flat-screen TV and kitchenette. It includes 3 double bedrooms and 3 bathrooms.

Situated in the lively San Lorenzo neighbourhood, Lucky Holidays is surrounded by restaurants and bars. Buses stopping 10 metres away take you to Rome city centre.","€ 1,854"
877,Rhome Accomodation,9.4,"Apartment
Entire apartment • 1 bedroom • 1 living room • 2 bathrooms • 1 kitchen • 60m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,089","Trionfale, RomeShow on map3 km from centreMetro access","You're eligible for a Genius discount at Rhome Accomodation! To save at this property, all you have to do is sign in.
Situated in Rome, a 4-minute walk from Cipro Metro Station of line A, this air-conditioned apartment features free WiFi.

The modern-furnished apartment comes with a seating area and a kitchenette compete with a microwave, a toaster and a fridge, as well as a coffee machine. A flat-screen TV is provided. There are 2 bathrooms equipped with a hairdryer.

Vatican Museums is 450 metres from Rhome Accomodation, while St. Peter's Basilica is 1.4 km away. The nearest airport is Rome Ciampino Airport, 35 km from the property.","€ 1,089"
885,La Casa di Rob e Cris,,"Standard Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 85m²
3 beds (1 sofa bed, 2 large doubles)
Free cancellation
Only 1 left at this price on our site","€ 1,572","Monte Sacro, RomeShow on map6.4 km from centreMetro access","La Casa di Rob e Cris is set in the Monte Sacro district of Rome, 4.7 km from Tiburtina Metro Station, 4.7 km from Roma Tiburtina Train Station and 5.7 km from Rebibbia Metro Station. This property offers access to a balcony, free private parking and free WiFi. The property is non-smoking and is located 4.2 km from Bologna Metro Station.

The spacious apartment features 2 bedrooms, a living room with a TV, an equipped kitchen, and 2 bathrooms with a bath and a hair dryer. Towels and bed linen are provided in the apartment.

Sapienza University of Rome is 6.1 km from the apartment, while Rome Termini Train Station is 6.3 km away. The nearest airport is Rome Ciampino Airport, 26 km from La Casa di Rob e Cris.","€ 1,572"
887,Rouge Studio - 10 min from Vatican,8.4,"Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 38m²
2 beds (1 single, 1 large double)
Free cancellation
Only 1 left at this price on our site",€ 846,"Aurelio, RomeShow on map3.5 km from centreMetro access","Situated in Rome, 1.6 km from Vatican Museums and 2 km from Ottaviano Metro Station, Rouge Studio - 10 min from Vatican offers free WiFi and air conditioning. The property is located 3.1 km from Lepanto Metro Station, 3.2 km from Battistini Metro Station and 3.2 km from Castel Sant'Angelo. The property is non-smoking and is set 2.7 km from St. Peter's Basilica.

The apartment has 1 bedroom, a TV, a fully equipped kitchen with a microwave and a fridge, a washing machine, and 1 bathroom with a bidet. Towels and bed linen are available in the apartment.

St Peter's Square is 4 km from the apartment, while The Vatican is 4 km from the property. The nearest airport is Fiumicino Airport, 25 km from Rouge Studio - 10 min from Vatican.",€ 868
888,WHITE VEIO LODGE,,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 50m²
2 beds (1 double, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site",€ 543,RomeShow on map14.7 km from centre,"Featuring garden views, WHITE VEIO LODGE provides accommodation with a garden and a terrace, around 14 km from Stadio Olimpico Roma. Among the facilities at this property are private check-in and check-out and a shared lounge, along with free WiFi throughout the property. The property is non-smoking and is located 15 km from Auditorium Parco della Musica.

The air-conditioned apartment is composed of 1 separate bedroom, a living room, a fully equipped kitchenette, and 1 bathroom. A flat-screen TV is provided.

Lepanto Metro Station is 16 km from the apartment, while Ottaviano Metro Station is 17 km away. The nearest airport is Rome Ciampino Airport, 35 km from WHITE VEIO LODGE.",€ 543
889,Penta Luxury House,8.8,"Double Room
1 large double bed
Only 6 rooms left at this price on our site","€ 1,129","Vaticano Prati, RomeShow on map2.2 km from centreMetro access","Set in the Vatican City - Prati district in Rome, 800 metres from Vatican Museums, Penta Luxury House boasts air-conditioned rooms with free WiFi throughout the property.

Each room is fitted with a flat-screen TV. Rooms come with a private bathroom fitted with a shower. Extras include free toiletries and a hairdryer.

You will find babysitting service at the property.

Castel Sant'Angelo is 800 metres from Penta Luxury House. The nearest airport is Rome Ciampino Airport, 16 km from Penta Luxury House.","€ 1,086"
893,Vatican Vittoria Suites - Vatican museums,9.8,"Double Room with Private Bathroom
1 large double bed
Only 1 room left at this price on our site","€ 1,083","Vaticano Prati, RomeShow on map2.8 km from centreMetro access","Attractively set in the Vaticano Prati district of Rome, Vatican Vittoria Suites - Vatican museums is located 1.8 km from Castel Sant'Angelo, 1.3 km from Lepanto Metro Station and 1.1 km from St Peter's Square. It is situated 600 metres from Ottaviano Metro Station and features a lift. The property is 200 metres from Vatican Museums, and within 2.6 km of the city centre.

All units in the guest house are fitted with a kettle. With a private bathroom, units at the guest house also boast free WiFi, while certain rooms are equipped with a patio. At the guest house, every unit is equipped with air conditioning and a flat-screen TV.

The Vatican is 1.1 km from the guest house, while St. Peter's Basilica is 1.3 km from the property. The nearest airport is Rome Ciampino Airport, 18 km from Vatican Vittoria Suites - Vatican museums.","€ 1,083"
895,4C Colosseo Holidays,8.4,"Superior Studio
Entire studio • 1 bathroom • 1 kitchen • 40m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,161","Rione Monti, RomeShow on map1.1 km from centreMetro access","You're eligible for a Genius discount at 4C Colosseo Holidays! To save at this property, all you have to do is sign in.
Set in Rome, 300 metres from Cavour Metro Station and less than 1 km from Colosseo Metro Station, 4C Colosseo Holidays offers air conditioning. The property has city and quiet street views, and is 700 metres from Rome Termini Metro Station. The property is 1.2 km from the city centre and 300 metres from Santa Maria Maggiore.

With free WiFi, this apartment offers a flat-screen TV, a washing machine and a fully equipped kitchen with an oven and microwave. A private entrance leads guests into the apartment, where they can enjoy some wine or champagne and fruits. The accommodation is non-smoking.

A minimarket is available at the apartment.

A car rental service is available at the apartment.

Popular points of interest near 4C Colosseo Holidays include Rome Termini Train Station, Domus Aurea and Quirinal Hill. The nearest airport is Rome Ciampino, 14 km from the accommodation, and the property offers a paid airport shuttle service.","€ 1,152"
901,Suite and Rooms San Giovanni,8.8,"Deluxe Double Room with Extra Bed
2 beds (1 sofa bed, 1 large double)
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 2 rooms left at this price on our site","€ 1,072","San Giovanni, RomeShow on map2.6 km from centreMetro access","Surrounded by views of the city, Suite and Rooms San Giovanni is a sustainable bed and breakfast in Rome, offering guests an environmentally friendly accommodation close to San Giovanni Metro Station. It is located 1.2 km from Ponte Lungo Metro Station and provides a lift. The bed and breakfast features family rooms.

All units feature air conditioning and a flat-screen TV. All units include a coffee machine, a private bathroom and free WiFi, while some rooms will provide you with a balcony and some have inner courtyard views. At the bed and breakfast, each unit is fitted with bed linen and towels.

Popular points of interest near the bed and breakfast include Porta Maggiore, Vittorio Emanuele Metro Station and Coliseum. The nearest airport is Rome Ciampino, 12 km from Suite and Rooms San Giovanni, and the property offers a paid airport shuttle service.","€ 1,032"
902,Salotto San Pietro,9.4,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55m²
2 beds (1 double, 1 sofa bed)
Only 1 left at this price on our site",€ 815,"Vaticano Prati, RomeShow on map2.7 km from centre","Salotto San Pietro is set in the Vaticano Prati district of Rome, 2.1 km from Castel Sant'Angelo, 1.4 km from St Peter's Square and 1.2 km from The Vatican. The property is around 2.5 km from Vatican Museums, 2.7 km from Piazza Navona and 2.7 km from Largo di Torre Argentina. Free WiFi is available throughout the property and St. Peter's Basilica is 1.4 km away.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a microwave and a coffee machine, and 1 bathroom with a bidet and a hair dryer. Towels and bed linen are offered in the apartment. The accommodation is non-smoking.

Campo de' Fiori is 2.9 km from the apartment, while Piazza di Santa Maria in Trastevere is 3 km from the property. The nearest airport is Fiumicino Airport, 25 km from Salotto San Pietro.",€ 812
906,Aurelia Deluxe Suites,,"One-Bedroom House
Entire holiday home • 1 bedroom • 1 living room • 1 bathroom • 38m²
1 extra-large double bed
Free cancellation
Only 2 left at this price on our site","€ 1,271","Aurelio, RomeShow on map4.9 km from centre","3.3 km from Battistini Metro Station, Aurelia Deluxe Suites is a sustainable property set in Rome and offers air-conditioned rooms with free WiFi and parking on-site. The property has pool and garden views, and is 3.6 km from St. Peter's Basilica. During your stay at this holiday home, you can make use of an outdoor swimming pool, as well as a selection of spa facilities and a lift.

Each unit is fitted with a fully equipped kitchenette with an oven, a seating area, a flat-screen TV, a washing machine, and a private bathroom with bidet and a hair dryer. A microwave, a fridge and stovetop are also offered, as well as a coffee machine and a kettle. At the holiday home, the units have bed linen and towels.

There is a snack bar, and a minimarket is also available.

A variety of wellness packages are available for guests to get rejuvenated in-house. Guests can relax in the garden at the property.

Vatican Museums is 3.7 km from the holiday home, while Ottaviano Metro Station is 4.2 km from the property. The nearest airport is Fiumicino, 23 km from Aurelia Deluxe Suites, and the property offers a paid airport shuttle service.","€ 1,271"
909,Long John Rooms,7.8,"Triple Room with Private Bathroom
2 beds (1 single, 1 large double)
Free cancellation
Only 1 room left at this price on our site",€ 921,"Trionfale, RomeShow on map3.1 km from centreMetro access","Offering city views, Long John Rooms is set in the Vaticano Prati district of Rome, less than 1 km from Ottaviano Metro Station and a 7-minute walk from Vatican Museums. Among the facilities at this property are a lift and full-day security, along with free WiFi throughout the property. The guest house has family rooms.

At the guest house, the units include a desk, a flat-screen TV, a private bathroom, bed linen and towels. All units will provide guests with a wardrobe and a kettle.

Popular points of interest near the guest house include Lepanto Metro Station, Castel Sant'Angelo and St Peter's Square. The nearest airport is Fiumicino Airport, 27 km from Long John Rooms.",€ 921
913,Prati Sweet Home,9.4,"Family Room with Private Bathroom
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 room left at this price on our site","€ 1,048",RomeShow on map3.3 km from centre,"A recently renovated property, Prati Sweet Home is set in Rome near Ottaviano Metro Station, Vatican Museums and Lepanto Metro Station. There is a private entrance at the guest house for the convenience of those who stay. The guest house has family rooms.

All units come with air conditioning, a flat-screen TV with satellite channels, a fridge, a coffee machine, a bidet, a hair dryer and a desk. Featuring a private bathroom with a shower and free toiletries, units at the guest house also have free WiFi. At the guest house, the units include bed linen and towels.

Castel Sant'Angelo is 2.1 km from the guest house, while Stadio Olimpico Roma is 2.5 km from the property. The nearest airport is Rome Ciampino Airport, 19 km from Prati Sweet Home.","€ 1,048"
916,Dream City Rome,8.8,"Superior Room
1 large double bed
Breakfast included
Only 3 rooms left at this price on our site","€ 1,014","Vaticano Prati, RomeShow on map2.4 km from centreMetro access","You're eligible for a Genius discount at Dream City Rome! To save at this property, all you have to do is sign in.
Dream City Rome is located in the Prati neighbourhood of Rome, 650 metres from the Vatican City and Termini Train Station is 2 metro stops away. It offers rooms with free Wi-Fi.

The rooms come with satellite TV and basic furniture. Most are equipped with air conditioning, and all have heating and a private bathroom with hairdryer. Rooms are decorated with contemporary art.

Ottaviano Metro Stop is 150 metres away. From there, you can reach many of Rome’s sites, such as the Spanish Steps and the Pantheon. Tourist information and maps are provided at Dream City Rome.","€ 1,131"
917,Dream City Rome,8.8,"Deluxe Room
1 large double bed
Breakfast included
Only 3 rooms left at this price on our site","€ 1,014","Vaticano Prati, RomeShow on map2.4 km from centreMetro access","You're eligible for a Genius discount at Dream City Rome! To save at this property, all you have to do is sign in.
Dream City Rome is located in the Prati neighbourhood of Rome, 650 metres from the Vatican City and Termini Train Station is 2 metro stops away. It offers rooms with free Wi-Fi.

The rooms come with satellite TV and basic furniture. Most are equipped with air conditioning, and all have heating and a private bathroom with hairdryer. Rooms are decorated with contemporary art.

Ottaviano Metro Stop is 150 metres away. From there, you can reach many of Rome’s sites, such as the Spanish Steps and the Pantheon. Tourist information and maps are provided at Dream City Rome.","€ 1,131"
919,RomeatHome Deluxe suite Campo dei Fiori,8.9,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 30m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,427","Navona, RomeShow on map1 km from centre","In the Navona district of Rome, close to Campo de' Fiori, RomeatHome Deluxe suite Campo dei Fiori features free WiFi and a washing machine. The property has city views and is 500 metres from Piazza Navona and less than 1 km from Pantheon. The property is less than 1 km from Largo di Torre Argentina, and within 900 metres of the city centre.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a bidet and a hair dryer. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Castel Sant'Angelo, Palazzo Venezia and Piazza Venezia. The nearest airport is Rome Ciampino, 16 km from RomeatHome Deluxe suite Campo dei Fiori, and the property offers a paid airport shuttle service.","€ 1,427"
921,Coral flat Colosseo,8.9,"Studio Apartment
Entire apartment • 1 bedroom • 1 bathroom • 28m²
1 large double bed
Free cancellation
Only 1 left at this price on our site","€ 1,135","Colosseum, RomeShow on map1.3 km from centreMetro access","You're eligible for a Genius discount at Coral flat Colosseo! To save at this property, all you have to do is sign in.
Right in the heart of Rome, situated within a short distance of Domus Aurea and Coliseum, Coral flat Colosseo offers free WiFi, air conditioning and household amenities such as a stovetop and kettle. The property is close to Roman Forum, San Giovanni Metro Station and Cavour Metro Station. Colosseo Metro Station is 600 metres away and Piazza Venezia is 1.5 km from the apartment.

The apartment has 1 bedroom, a flat-screen TV, a fully equipped kitchenette with a microwave and a fridge, and 1 bathroom with a bidet. Towels and bed linen are available in the apartment. This apartment is allergy-free and non-smoking.

Dining options are available close to the apartment.

Popular points of interest near Coral flat Colosseo include Palatine Hill, Vittorio Emanuele Metro Station and Santa Maria Maggiore. The nearest airport is Rome Ciampino Airport, 13 km from the accommodation.","€ 1,220"
922,Apartment Angelico 32,8.5,"Three-Bedroom Apartment
Entire apartment • 3 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 100m²
3 large double beds
Free cancellation
Only 1 left at this price on our site","€ 1,678","Vaticano Prati, RomeShow on map3 km from centre","You're eligible for a Genius discount at Apartment Angelico 32! To save at this property, all you have to do is sign in.
Apartment Angelico 32 features air-conditioned guest accommodation in Rome, 1.1 km from Lepanto Metro Station, 800 metres from Ottaviano Metro Station and 1.3 km from Vatican Museums. Free WiFi is offered throughout the property and private parking is available on site. The apartment has family rooms.

Each unit is fitted with a fully equipped kitchen with an oven, a seating area, a flat-screen TV, a washing machine, and a private bathroom with bidet and a hair dryer. A fridge, a stovetop and kitchenware are also available, as well as a coffee machine and a kettle. At the apartment complex, units are equipped with bed linen and towels.

Popular points of interest near the apartment include St Peter's Square, The Vatican and St. Peter's Basilica. The nearest airport is Rome Ciampino Airport, 18 km from Apartment Angelico 32.","€ 1,678"
923,A 2 Passi Dai Musei Luxury Guest House,9.2,"Double Room with Private Balcony and City View
1 large double bed
Breakfast included
Only 1 room left at this price on our site",€ 959,"Trionfale, RomeShow on map2.9 km from centreMetro access","You're eligible for a Genius discount at A 2 Passi Dai Musei Luxury Guest House! To save at this property, all you have to do is sign in.
A 2 Passi Dai Musei Luxury Guest House is located in the Prati district in Rome, 230 metres from the Vatican Museums. It offers free WiFi throughout and air-conditioned rooms.

Every room comes with a flat-screen TV, a kettle and a coffee machine. The private bathroom has free toiletries and a hairdryer.

A sweet Italian breakfast is provided daily in a nearby café at an extra charge.

There is luggage storage space at the property.

Cipro Metro is 400 metres from the property. St. Peter's Basilica is 1.3 km away.",€ 959
